Root,Sample Word,Sample Word Meaning
ر ف ث‎, الرَّفَثُ,(is) the approach
ر ف د‎, الرِّفْدُ,(is) the gift
ر ف ر ف‎, رَفْرَفٍ,cushions
ر ف ع‎, رَفَعَ,to raise
ر ف ق‎, رَفِيقًا,companion(s)
ر ق ب‎, يَرْقُبُ,to respect
ر ق د‎, رُقُودٌ,(were) asleep
ر ق ق‎, رَقٍّ,parchment
ر ق م‎, وَالرَّقِيمِ,and the inscription
ر ق ي‎, تَرْقَىٰ,to ascend
ر ك ب‎, رَكِبَ,"to ride, to embark"
ر ك د‎, رَوَاكِدَ,motionless
ر ك ز‎, رِكْزًا,a sound
ر ك س‎, أَرْكَسَ,"to cast back, to plunge"
ر ك ض‎, يَرْكُضُ,"to flee, to strike"
ر ك ع‎, يَرْكَعُ,to bow
ر ك م‎, يَرْكُمَ,to heap
ر ك ن‎, تَرْكَنُ,to incline
ر م ح‎, وَرِمَاحُكُمْ,and your spears
ر م د‎, كَرَمَادٍ,(are) like ashes
ر م ز‎, رَمْزًا,(with) gestures
ر م م‎, رَمِيمٌ,(are) decomposed
ر م ن‎, وَالرُّمَّانَ,and the pomegranates
ر م ي‎, رَمَىٰ,"to throw, to accuse"
ر ه ب‎, يَرْهَبُ,to fear
ر ه ط‎, رَهْطُكَ,for your family
ر ه ق‎, يَرْهَقُ,to cover
ر ه ن‎, فَرِهَانٌ,then pledge
ر ه و‎, رَهْوًا,at rest
ر و ح‎, تُرِيحُ,to bring
ر و د‎, رَٰوَدُ,"to seduce, to demand, to get permission"
ر و ض‎, رَوْضَاتِ,flowering meadows
ر و ع‎, الرَّوْعُ,the fright
ر و غ‎, رَاغَ,to turn
ر ي ب‎, ٱرْتَابَ,to doubt
ر ي ش‎, وَرِيشًا,and (as) an adornment
ر ي ع‎, رِيعٍ,elevation
ر ي ن‎, رَانَ,to cover
ز ب د‎, زَبَدًا,a foam
ز ب ر‎, زُبَرَ,sheets
ز ب ن‎, الزَّبَانِيَةَ,the Angels of Hell
ز ج ج‎, زُجَاجَةٍ,a glass
ز ج ر‎, ٱزْدُجِرَ,to repell
ز ج و‎, يُزْجِى,to drive
ز ح ز ح‎, زُحْزِحَ,to draw away
ز ح ف‎, زَحْفًا,advancing
ز خ ر ف‎, زُخْرُفَ,(with) decorative
ز ر ع‎, تَزْرَعُ,"to plant, to sow"
ز ر ق‎, زُرْقًا,blue-eyed
ز ر ي‎, تَزْدَرِىٓ,to look down
ز ع م‎, زَعَمَ,to claim
ز ف ر‎, زَفِيرٌ,(is) sighing
ز ف ف‎, يَزِفُّ,to hasten
ز ق م‎, زَقُّوم,Proper noun
ز ك و‎, زَكَىٰ,to purify
ز ل ز ل‎, زُلْزِلُ,to shake
ز ل ف‎, أُزْلِفَتْ,to bring near
ز ل ق‎, يُزْلِقُ,to make slip
ز ل ل‎, زَلَلْ,to slip
ز ل م‎, بِالْأَزْلَامِ,by divining arrows 
ز م ر‎, زُمَرًا,(in) groups
ز م ل‎, الْمُزَّمِّلُ,who wraps himself
ز م ه ر‎, زَمْهَرِيرًا,freezing cold
ز ن م‎, زَنِيمٍ,utterly useless
ز ن ي‎, يَزْنُ,to commit adultery
ز ه د‎, الزَّاهِدِينَ,those keen to give up
ز ه ر‎, زَهْرَةَ,(the) splendor
ز ه ق‎, زَهَقَ,"to depart, to perish"
ز و ج‎, زُوِّجَتْ,"to marry, to be paired"
ز و د‎, تَزَوَّدُ,to take provision
ز و ر‎, زُرْ,to visit
ز و ل‎, زَالَ,to cease
ز ي ت‎, زَيْتُهَا,its oil
ز ي د‎, زَادَ,to increase
ز ي غ‎, زَاغَ,"to deviate, to turn away, to swerve"
ز ي ل‎, زَالَت,to cease
ز ي ن‎, زَيَّنَ,to make fair-seeming
س أ ل‎, سَأَلَ,to ask
س أ م‎, يَسْـَٔمُ,to tire
س ب ب‎, يَسُبُّ,to insult
س ب ت‎, يَسْبِتُ,to have Sabbath
س ب ح‎, يَسْبَحُ,"to swim, to float"
س ب ط‎, وَالْأَسْبَاطِ,and the descendants
س ب ع‎, السَّبُعُ,the wild animal
س ب غ‎, أَسْبَغَ,to bestow
س ب ق‎, سَبَقَ,to precede
س ب ل‎, السَّبِيلِ,(of) the way
س ت ت‎, سِتِّينَ,(of) sixty
س ت ر‎, تَسْتَتِرُ,to cover
س ج د‎, سَجَدَ,to prostrate
س ج ر‎, يُسْجَرُ,to burn
س ج ل‎, السِّجِلِّ,(of) a scroll
س ج ن‎, يُسْجَنَ,to imprison
س ج و‎, سَجَىٰ,to cover with darkness
س ح ب‎, يُسْحَبُ,to drag
س ح ت‎, يُسْحِتَ,to destroy
س ح ر‎, سَحَرُ,"to bewitch, to delude"
س ح ق‎, فَسُحْقًا,so away with
س ح ل‎, بِالسَّاحِلِ,on the bank
س خ ر‎, سَخِرَ,"to ridicule, to mock"
س خ ط‎, سَخِطَ,"to anger, to enrage"
س د د‎, السَّدَّيْنِ,the two mountains
س د ر‎, سِدْرٍ,lote trees
س د س‎, سَادِسُهُمْ,the sixth of them
س د ي‎, سُدًى,neglected
س ر ب‎, كَسَرَابٍ,(are) like a mirage
س ر ب ل‎, سَرَابِيلُهُمْ,Their garments
س ر ج‎, سِرَاجًا,a lamp
س ر ح‎, تَسْرَحُ,to take out
س ر د‎, السَّرْدِ,the links (of armor)
س ر د ق‎, سُرَادِقُهَا,its walls
س ر ر‎, تَسُرُّ,to please
س ر ع‎, يُسَٰرِعُ,to hasten
س ر ف‎, أَسْرَفَ,"to be extravagant, to exceed, to transgress"
س ر ق‎, سَرَقَ,to steal
س ر م د‎, سَرْمَدًا,continuous
س ر ي‎, يَسْرِ,"to pass, to set out"
س ط ح‎, سُطِحَتْ,to spread out
س ط ر‎, يَسْطُرُ,to write
س ط و‎, يَسْطُ,to attack
س ع د‎, سُعِدُ,to be glad
س ع ر‎, سُعِّرَتْ,to set ablaze
س ع ي‎, سَعَىٰ,"to strive, to run"
س غ ب‎, مَسْغَبَةٍ,severe hunger
س ف ح‎, مَسْفُوحًا,poured forth
س ف ر‎, أَسْفَرَ,to brighten
س ف ع‎, نَسْفَعًۢ,to drag
س ف ك‎, يَسْفِكُ,to shed
س ف ل‎, أَسْفَلَ,below
س ف ن‎, السَّفِينَةِ,the ship
س ف ه‎, سَفِهَ,to fool
س ق ط‎, سُقِطَ,"to fall, to regret"
س ق ف‎, السَّقْفُ,the roof
س ق م‎, سَقِيمٌ,sick
س ق ي‎, سَقَىٰ,"to water, to give drink"
س ك ب‎, مَسْكُوبٍ,poured forth
س ك ت‎, سَكَتَ,to calm
س ك ر‎, سُكِّرَتْ,to dazzle
س ك ن‎, سَكَنَ,"to dwell, to live, to rest"
س ل ب‎, يَسْلُبْ,to snatch away
س ل ح‎, أَسْلِحَتَهُمْ,their arms
س ل خ‎, نَسْلَخُ,to withdraw
س ل س ل‎, وَالسَّلَاسِلُ,and the chains
س ل ط‎, سَلَّطَ,to give power
س ل ف‎, سَلَفَ,to pass (before)
س ل ق‎, سَلَقُ,to smite
س ل ك‎, سَلَكَ,"to insert, to make enter"
س ل ل‎, يَتَسَلَّلُ,to slip away
س ل م‎, سَلَّمَ,"to submit, to greet, to pay"
س ل و‎, وَالسَّلْوَىٰ,and [the] quails
س م د‎, سَامِدُونَ,amuse (yourselves)
س م ر‎, سَامِرًا,conversing by night
س م ع‎, سَمِعَ,"to hear, to listen"
س م ك‎, سَمْكَهَا,its ceiling
س م م‎, سَمِّ,(the) eye
س م ن‎, يُسْمِنُ,to nourish
س م و‎, سَمَّىٰ,to name
س ن ب ل‎, سُنْبُلِهِ,its ears
س ن د‎, مُسَنَّدَةٌ,propped up
س ن م‎, تَسْنِيمٍ,Tasneem
س ن ن‎, وَالسِّنَّ,and the tooth
س ن ه‎, يَتَسَنَّهْ,to change with time
س ن و‎, سَنَا,(the) flash
س ه ر‎, بِالسَّاهِرَةِ,(will be) awakened
س ه ل‎, سُهُولِهَا,its plains
س ه م‎, سَاهَمَ,to draw
س ه و‎, سَاهُونَ,(of) heedlessness
س و أ‎, سَآءَ,to be evil
س و ح‎, بِسَاحَتِهِمْ,in their territory
س و د‎, ٱسْوَدَّتْ,to become black
س و ر‎, تَسَوَّرُ,to climb over
س و ط‎, سَوْطَ,scourge
س و ع‎, السَّاعَةُ,the Hour
س و غ‎, يُسِيغُ,to swallow
س و ق‎, سِيقَ,to drive
س و ل‎, سَوَّلَ,"to entice, to suggest"
س و م‎, يَسُومُ,to afflict
س و ي‎, تُسَوَّىٰ,to level
س ي ب‎, سَائِبَةٍ,a Saibah
س ي ح‎, سِيحُ,to move about
س ي ر‎, سَارَ,to travel
س ي ل‎, سَالَتْ,to flow
ش أ م‎, الْمَشْأَمَةِ,(of) the left
ش أ ن‎, شَأْنٍ,any situation
ش ب ه‎, شُبِّهَ,to make appear
ش ت ت‎, أَشْتَاتًا,separately
ش ت و‎, الشِّتَاءِ,(of) winter
ش ج ر‎, شَجَرَ,to arise
ش ح ح‎, الشُّحَّ,(by) greed
ش ح م‎, شُحُومَهُمَا,their fat
ش ح ن‎, الْمَشْحُونِ,laden
ش خ ص‎, تَشْخَصُ,to stare
ش د د‎, شَدَدْ,to strengthen
ش ر ب‎, شَرِبَ,to drink
ش ر ح‎, شَرَحَ,"to expand, to open"
ش ر د‎, شَرِّدْ,to disperse
ش ر ذ م‎, لَشِرْذِمَةٌ,(are) certainly a band
ش ر ر‎, شَرٌّ,(is) bad
ش ر ط‎, أَشْرَاطُهَا,its indications
ش ر ع‎, شَرَعَ,to ordain
ش ر ق‎, أَشْرَقَتِ,to shine
ش ر ك‎, شَارِكْ,to be a partner
ش ر ي‎, شَرَ,to sell
ش ط أ‎, شَاطِئِ,(the) side
ش ط ر‎, شَطْر,Location adverb
ش ط ط‎, تُشْطِطْ,to be unjust
ش ط ن‎, الشَّيْطَانُ,the Shaitaan
ش ع ب‎, شُعَبٍ,columns
ش ع ر‎, يَشْعُرُ,"to perceive, to realize"
ش ع ل‎, ٱشْتَعَلَ,to flare
ش غ ف‎, شَغَفَ,to impassion
ش غ ل‎, شَغَلَتْ,to keep busy
ش ف ع‎, يَشْفَعُ,to intercede
ش ف ق‎, أَشْفَقْ,"to fear, to be afraid"
ش ف ه‎, وَشَفَتَيْنِ,and two lips
ش ف و‎, شَفَا,(the) brink
ش ف ي‎, يَشْفِ,"to heal, to cure"
ش ق ق‎, شَقَقْ,"to make difficult, to cleave"
ش ق و‎, شَقُ,"to suffer, to be wretched, to be distressed"
ش ك ر‎, شَكَرَ,"to be grateful, to give thanks"
ش ك س‎, مُتَشَاكِسُونَ,quarreling
ش ك ك‎, شَكٍّ,doubt
ش ك ل‎, شَاكِلَتِهِ,his manner
ش ك و‎, أَشْكُوا۟,to complain
ش م ت‎, تُشْمِتْ,to rejoice
ش م خ‎, شَامِخَاتٍ,lofty
ش م ز‎, ٱشْمَأَزَّتْ,to shrink with aversion
ش م س‎, بِالشَّمْسِ,the sun
ش م ل‎, ٱشْتَمَلَتْ,to contain
ش ن أ‎, شَنَآنُ,(the) hatred
ش ه ب‎, شِهَابٌ,a burning flame
ش ه د‎, شَهِدَ,"to testify, to bear witness"
ش ه ر‎, شَهْرُ,Month
ش ه ق‎, وَشَهِيقٌ,and wailing
ش ه و‎, ٱشْتَهَتْ,to desire
ش و ب‎, لَشَوْبًا,(is) a mixture
ش و ر‎, شَاوِرْ,to consult
ش و ظ‎, شُوَاظٌ,a flame
ش و ك‎, الشَّوْكَةِ,(of) the armed
ش و ي‎, يَشْوِى,to scald
ش ي أ‎, شَآءَ,"to will, to wish"
ش ي ب‎, شِيبًا,gray-haired
ش ي خ‎, شَيْخًا,(is) an old man
ش ي د‎, مَشِيدٍ,lofty
ش ي ع‎, تَشِيعَ,to spread
ص ب أ‎, وَالصَّابِئِينَ,and the Sabians 
ص ب ب‎, صَبَّ,to pour
ص ب ح‎, صَبَّحَ,to seize in the morning
ص ب ر‎, صَبَرَ,to be patient
ص ب ع‎, أَصَابِعَهُمْ,their fingers
ص ب غ‎, وَصِبْغٍ,and a relish
ص ب و‎, أَصْبُ,to incline
ص ح ب‎, يُصْحَبُ,to protect
ص ح ف‎, بِصِحَافٍ,plates
ص خ خ‎, الصَّاخَّةُ,the Deafening Blast
ص خ ر‎, الصَّخْرَ,the rocks
ص د د‎, صَدَّ,"to turn away, to avert, to hinder"
ص د ر‎, يَصْدُرُ,to proceed
ص د ع‎, ٱصْدَعْ,to proclaim
ص د ف‎, صَدَفَ,to turn away
ص د ق‎, صَدَقَ,"to be truthful, to fulfill"
ص د ي‎, تَصَدَّىٰ,to give attention
ص ر ح‎, الصَّرْحَ,the palace
ص ر خ‎, يَصْطَرِخُ,to cry
ص ر ر‎, أَصَرُّ,to persist
ص ر ص ر‎, صَرْصَرًا,furious
ص ر ط‎, الصِّرَاطَ,(to) the path
ص ر ع‎, صَرْعَىٰ,fallen
ص ر ف‎, صَرَفَ,"to divert, to turn away"
ص ر م‎, يَصْرِمُ,to pluck
ص ع د‎, يَصْعَدُ,to ascend
ص ع ر‎, تُصَعِّرْ,to turn
ص ع ق‎, صَعِقَ,"to faint, to fall dead"
ص غ ر‎, أَصْغَرَ,smaller
ص غ و‎, صَغَتْ,to incline
ص ف ح‎, يَصْفَحُ,to overlook
ص ف د‎, الْأَصْفَادِ,the chains
ص ف ر‎, صُفْرٌ,yellow
ص ف ص ف‎, صَفْصَفًا,plain
ص ف ف‎, صَوَافَّ,(when) lined up
ص ف ن‎, الصَّافِنَاتُ,excellent bred steeds
ص ف و‎, أَصْفَىٰ,to choose
ص ك ك‎, صَكَّتْ,to strike
ص ل ب‎, صَلَبُ,to crucify
ص ل ح‎, صَلَحَ,to be righteous
ص ل د‎, صَلْدًا,bare
ص ل ص ل‎, صَلْصَالٍ,sounding clay
ص ل و‎, صَلَّىٰ,"to pray, to bless"
ص ل ي‎, يَصْلَى,to burn
ص م ت‎, صَامِتُونَ,remain silent
ص م د‎, الصَّمَدُ,"the Eternal, the Absolute"
ص م ع‎, صَوَامِعُ,monasteries
ص م م‎, صَمُّ,to become deaf
ص ن ع‎, صَنَعُ,"to make, to construct, to do"
ص ن م‎, أَصْنَامًا,idols
ص ن و‎, صِنْوَانٌ,trees (growing) from a single root
ص ه ر‎, يُصْهَرُ,to melt
ص و ب‎, أَصَابَ,"to strike, to befall, to bestow"
ص و ت‎, بِصَوْتِكَ,with your voice
ص و ر‎, صُرْ,to incline
ص و ع‎, صُوَاعَ,(the) cup
ص و ف‎, أَصْوَافِهَا,their wool
ص و م‎, يَصُمْ,to fast
ص ي ح‎, الصَّيْحَةُ,the thunderous blast
ص ي د‎, ٱصْطَادُ,to hunt
ص ي ر‎, تَصِيرُ,to reach
ص ي ص‎, صَيَاصِيهِمْ,their fortresses
ص ي ف‎, وَالصَّيْفِ,and summer
ض أ ن‎, الضَّأْنِ,the sheep
ض ب ح‎, ضَبْحًا,panting
ض ج ع‎, مَضَاجِعِهِمْ,their places of death
ض ح ك‎, ضَحِكَتْ,to laugh
ض ح و‎, تَضْحَىٰ,to expose
ض د د‎, ضِدًّا,opponents
ض ر ب‎, ضَرَبَ,"to strike, to set forth"
ض ر ر‎, يَضُرَّ,to harm
ض ر ع‎, تَضَرَّعُ,to humble
ض ع ف‎, ضَعُفَ,to weaken
ض غ ث‎, أَضْغَاثُ,Confused
ض غ ن‎, أَضْغَانَهُمْ,their hatred
ض ف د ع‎, وَالضَّفَادِعَ,and the frogs
ض ل ل‎, ضَلَّ,"to go astray, to err, to lose"
ض م ر‎, ضَامِرٍ,lean camel
ض م م‎, ٱضْمُمْ,to draw (near)
ض ن ك‎, ضَنْكًا,straitened
ض ن ن‎, بِضَنِينٍ,a withholder
ض ه أ‎, يُضَٰهِـُٔ,to imitate
ض و أ‎, أَضَآءَ,"to light, to flash, to glow"
ض ي ر‎, ضَيْرَ,harm
ض ي ز‎, ضِيزَىٰ,unfair
ض ي ع‎, أَضَاعُ,"to let go waste, to neglect"
ض ي ف‎, يُضَيِّفُ,to offer hospitality
ض ي ق‎, ضَاقَ,to straiten
ط ب ع‎, طَبَعَ,to seal
ط ب ق‎, طِبَاقًا,one above another
ط ح و‎, طَحَىٰ,to spread
ط ر ح‎, ٱطْرَحُ,to cast
ط ر د‎, طَرَد,"to send away, to drive away"
ط ر ف‎, طَرْفُهُمْ,their gaze
ط ر ق‎, طَرِيقًا,(to) a way
ط ر و‎, طَرِيًّا,fresh
ط ع م‎, طَعِمُ,"to eat, to taste, to feed"
ط ع ن‎, طَعَنُ,to defame
ط غ ي‎, طَغَىٰ,"to transgress, to overflow"
ط ف أ‎, أَطْفَأَ,"to extinguish, to put out"
ط ف ف‎, لِلْمُطَفِّفِينَ,to those who give less
ط ف ق‎, طَفِقَ,to begin
ط ف ل‎, طِفْلًا,(as) a child
ط ل ب‎, يَطْلُبُ,to seek
ط ل ح‎, وَطَلْحٍ,And banana trees
ط ل ع‎, طَلَعَت,to rise
ط ل ق‎, طَلَّقَ,to divorce
ط ل ل‎, فَطَلٌّ,then a drizzle
ط م ث‎, يَطْمِثْ,to touch
ط م س‎, طُمِسَتْ,"to blind, to destory, to obliterate"
ط م ع‎, يَطْمَعُ,"to hope, to desire"
ط م م‎, الطَّامَّةُ,the Overwhelming Calamity
ط م ن‎, ٱطْمَأَنَّ,"to be satisfied, to be secure, to be content"
ط ه ر‎, يَطْهُرْ,to purify
ط و د‎, كَالطَّوْدِ,like the mountain
ط و ر‎, أَطْوَارًا,(in) stages
ط و ع‎, يُطَاعُ,to obey
ط و ف‎, طَافَ,"to circulate, to go around"
ط و ق‎, يُطَوَّقُ,to encircle the neck
ط و ل‎, طَالَ,"to prolong, to grow long"
ط و ي‎, نَطْوِى,to fold
ط ي ب‎, طَابَ,"to seem suitable, to remit, to do well"
ط ي ر‎, يَطِيرُ,to fly
ط ي ن‎, الطِّينِ,[the] clay
ظ ع ن‎, ظَعْنِكُمْ,(of) your travel
ظ ف ر‎, أَظْفَرَ,to give victory
ظ ل ل‎, ظَلَّ,"to continue, to remain"
ظ ل م‎, ظَلَمَ,"to oppress, to wrong"
ظ م أ‎, تَظْمَؤُا۟,to suffer from thirst
ظ ن ن‎, ظَنَّ,"to think, to assume, to guess"
ظ ه ر‎, ظَهَرَ,"to appear, to become manifest"
ع ب أ‎, يَعْبَؤُا۟,to care
ع ب ث‎, تَعْبَثُ,to be amused
ع ب د‎, عَبَدَ,to worship
ع ب ر‎, تَعْبُرُ,to interpret
ع ب س‎, عَبَسَ,to frown
ع ب ق ر‎, وَعَبْقَرِيٍّ,and carpets
ع ت ب‎, يَسْتَعْتِبُ,to ask for favor
ع ت د‎, أَعْتَدَتْ,to prepare
ع ت ق‎, الْعَتِيقِ,[the] Ancient
ع ت ل‎, ٱعْتِلُ,to drag
ع ت و‎, عَتَ,"to be insolent, to exceed, to rebell"
ع ث ر‎, عُثِرَ,to discover
ع ث و‎, تَعْثَ,"to act wickedly, to commit evil"
ع ج ب‎, عَجِبُ,"to wonder, to be amazed, to be astonished"
ع ج ز‎, عَجَزْ,to be unable
ع ج ف‎, عِجَافٌ,lean ones
ع ج ل‎, عَجِلَ,to hasten
ع ج م‎, أَعْجَمِيٌّ,(is) foreign
ع د د‎, عَدَّ,to count
ع د س‎, وَعَدَسِهَا,[and] its lentils
ع د ل‎, عَدَلَ,to be just
ع د و‎, يَعْدُ,"to transgress, to pass beyond"
ع ذ ب‎, عَذَّبَ,to punish
ع ذ ر‎, يَعْتَذِرُ,to make excuse
ع ر ب‎, الْأَعْرَابِ,the bedouins
ع ر ج‎, يَعْرُجُ,to ascend
ع ر ج ن‎, كَالْعُرْجُونِ,like the date stalk
ع ر ر‎, وَالْمُعْتَرَّ,and the needy who ask
ع ر ش‎, يَعْرِشُ,"to erect, to construct"
ع ر ض‎, عَرَضَ,"to display, to present, to expose, to turn away"
ع ر ف‎, عَرَفَ,"to know, to recognize"
ع ر م‎, الْعَرِمِ,(of) the dam
ع ر و‎, ٱعْتَرَىٰ,to seize
ع ر ي‎, تَعْرَىٰ,to unclothe
ع ز ب‎, يَعْزُبُ,to escape
ع ز ر‎, عَزَّرُ,"to honour, to assist"
ع ز ز‎, عَزَّ,to overpower
ع ز ل‎, عَزَلْ,to set aside
ع ز م‎, عَزَمَ,"to resolve, to decide, to determine"
ع ز و‎, عِزِينَ,(in) separate groups
ع س ر‎, تَعَاسَرْ,to disagree
ع س ع س‎, عَسْعَسَ,to depart
ع س ل‎, عَسَلٍ,honey
ع س ي‎, عَسَى,to perhaps
ع ش ر‎, عَاشِرُ,to live
ع ش و‎, يَعْشُ,to turn away
ع ص ب‎, عُصْبَةٌ,(are) a group
ع ص ر‎, يَعْصِرُ,to press
ع ص ف‎, عَاصِفَةً,forcefully
ع ص م‎, يَعْصِمُ,"to save, to protect"
ع ص و‎, بِعَصَاكَ,with your staff
ع ص ي‎, عَصَا,to disobey
ع ض د‎, عَضُدًا,(as) helper(s)
ع ض ض‎, عَضُّ,to bite
ع ض ل‎, تَعْضُلُ,"to hinder, to constrain"
ع ض و‎, عِضِينَ,(in) parts
ع ط ف‎, عِطْفِهِ,his neck
ع ط ل‎, عُطِّلَتْ,to leave untended
ع ط و‎, تَعَاطَىٰ,to take
ع ظ م‎, يُعَظِّمْ,to honor
ع ف ر‎, عِفْرِيتٌ,a strong one
ع ف ف‎, يَسْتَعْفِفْ,"to refrain, to be chaste"
ع ف و‎, عَفَا,"to forgive, to pardon"
ع ق ب‎, يُعَقِّبْ,"to look back, to return"
ع ق د‎, عَقَدَتْ,to pledge
ع ق ر‎, عَقَرَ,to hamstrung
ع ق ل‎, عَقَلُ,"to understand, to reason"
ع ق م‎, عَقِيمٍ,barren
ع ك ف‎, يَعْكُفُ,to devote
ع ل ق‎, عَلَقٍ,a clinging substance
ع ل م‎, عَلِمَ,to know
ع ل ن‎, أَعْلَن,"to declare, to reveal, to proclaim"
ع ل و‎, تَعَٰلَىٰ,"to be exalted, to be high"
ع م د‎, تَعَمَّدَتْ,to intend
ع م ر‎, عَمَرُ,"to maintain, to build on"
ع م ق‎, عَمِيقٍ,distant
ع م ل‎, عَمِلَ,"to do, to work"
ع م م‎, أَعْمَامِكُمْ,(of) your paternal uncles
ع م ه‎, يَعْمَهُ,to wander blindly
ع م ي‎, عَمِىَ,to be blind
ع ن ب‎, وَأَعْنَابٍ,and grapevines
ع ن ت‎, عَنِ,"to suffer, to be distressed"
ع ن د‎, عِنْدَ,with
ع ن ق‎, الْأَعْنَاقِ,the necks
ع ن ك ب‎, الْعَنْكَبُوتِ,the spider
ع ن و‎, عَنَتِ,to be humbled
ع ه د‎, عَهِدَ,"to make a covenant, to promise"
ع ه ن‎, كَالْعِهْنِ,like wool
ع و ج‎, عِوَجًا,(seem) crooked
ع و د‎, عَادَ,to return
ع و ذ‎, عُذْ,to seek refuge
ع و ر‎, عَوْرَاتِ,private aspects
ع و ق‎, الْمُعَوِّقِينَ,those who hinder
ع و ل‎, تَعُولُ,to oppress
ع و م‎, عَامٍ,year(s)
ع و ن‎, أَعَانَ,to help
ع ي ب‎, أَعِيبَ,to cause defect
ع ي ر‎, الْعِيرُ,(in) the caravan
ع ي ش‎, عِيشَةٍ,a life
ع ي ل‎, عَيْلَةً,poverty
ع ي ن‎, عَيْنًا,springs
ع ي ي‎, عَيِي,to tire
غ ب ر‎, غَبَرَةٌ,(will be) dust
غ ب ن‎, التَّغَابُنِ,(of) mutual loss and gain
غ ث و‎, غُثَاءً,(as) rubbish of dead leaves
غ د ر‎, يُغَادِرُ,to leave behind
غ د ق‎, غَدَقًا,(in) abundance
غ د و‎, غَدَ,to leave early
غ ر ب‎, غَرَبَت,to set
غ ر ر‎, غَرَّ,"to deceive, to delude"
غ ر ف‎, ٱغْتَرَفَ,to take
غ ر ق‎, أُغْرِقُ,to drown
غ ر م‎, غَرَامًا,inseparable
غ ر و‎, أَغْرَيْ,"to overpower, to arouse"
غ ز ل‎, غَزْلَهَا,her spun yarn
غ ز و‎, غُزًّى,fighting
غ س ق‎, وَغَسَّاقٌ,and purulence
غ س ل‎, ٱغْسِلُ,to wash
غ ش و‎, غَشِيَ,to cover
غ ص ب‎, غَصْبًا,(by) force
غ ص ص‎, غُصَّةٍ,chokes
غ ض ب‎, غَضِبَ,to be angry
غ ض ض‎, يَغُضُّ,to lower
غ ط ش‎, أَغْطَشَ,to darken
غ ط و‎, غِطَاءٍ,a cover
غ ف ر‎, غَفَرَ,to forgive
غ ف ل‎, تَغْفُلُ,to neglect
غ ل ب‎, غَلَبُ,"to overcome, to defeat"
غ ل ظ‎, ٱغْلُظْ,to be stern
غ ل ف‎, غُلْفٌ,(are) wrapped
غ ل ق‎, غَلَّقَتِ,to close
غ ل ل‎, غَلَّ,"to defraud, to chain, to shackle"
غ ل م‎, غُلَامٌ,a son
غ ل و‎, تَغْلُو,to exceed
غ ل ي‎, يَغْلِى,to boil
غ م ر‎, غَمَرَاتِ,agonies
غ م ز‎, يَتَغَامَزُ,to wink
غ م ض‎, تُغْمِضُ,to close
غ م م‎, غَمًّا,(with) distress
غ ن م‎, غَنِمْ,to take as war booty
غ ن ي‎, أَغْنَىٰ,"to avail, to prosper"
غ و ث‎, يُغَاثُ,to be relieved
غ و ر‎, الْغَارِ,the cave
غ و ص‎, يَغُوصُ,to dive
غ و ط‎, الْغَائِطِ,the toilet
غ و ل‎, غَوْلٌ,(is) bad effect
غ و ي‎, غَوَىٰ,"to err, to go astray"
غ ي ب‎, يَغْتَب,to backbite
غ ي ث‎, يُغَاثُ,to be given rain
غ ي ر‎, يُغَيِّرُ,to change
غ ي ض‎, غِيضَ,"to subside, to fall short"
غ ي ظ‎, يَغِيظُ,"to anger, to enrage"
ف أ د‎, أَفْئِدَتَهُمْ,their hearts
ف أ ي‎, فِئَتُكُمْ,your forces
ف ت أ‎, تَفْتَؤُا۟,to cease
ف ت ح‎, فَتَحَ,"to open, to give victory"
ف ت ر‎, يَفْتُرُ,to invent
ف ت ق‎, فَتَقْ,to part
ف ت ل‎, فَتِيلًا,(even as much as) a hair on a date-seed
ف ت ن‎, فَتَنُ,"to persecute, to test, to try"
ف ت ي‎, يُفْتِي,"to give ruling, to explain, to advise"
ف ج ج‎, فِجَاجًا,broad passes
ف ج ر‎, يَفْجُرَ,to give lie
ف ج و‎, فَجْوَةٍ,the open space
ف ح ش‎, فَاحِشَةً,immorality
ف خ ر‎, كَالْفَخَّارِ,like the pottery
ف د ي‎, فَدَيْ,to ransom
ف ر ت‎, فُرَاتٌ,and sweet
ف ر ث‎, فَرْثٍ,bowels
ف ر ج‎, فُرِجَتْ,to be cleft asunder
ف ر ح‎, فَرِحَ,to rejoice
ف ر د‎, فُرَادَىٰ,alone
ف ر ر‎, فَرَّتْ,to flee
ف ر ش‎, فَرَشْ,to spread
ف ر ض‎, فَرَضَ,"to specify, to ordain, to make obligatory"
ف ر ط‎, يَفْرُطَ,to hasten
ف ر ع‎, وَفَرْعُهَا,and its branches
ف ر غ‎, فَرَغْ,to finish
ف ر ق‎, فَرَقْ,to divide
ف ر ه‎, فَارِهِينَ,skillfully
ف ر ي‎, يَفْتَرِي,to invent
ف ز ز‎, يَسْتَفِزَّ,"to incite, to scare, to drive out"
ف ز ع‎, فَزِعَ,"to be terrified, to be afraid"
ف س ح‎, يَفْسَحِ,to make room
ف س د‎, فَسَدَتِ,"to be corrupted, to be ruined"
ف س ر‎, تَفْسِيرًا,explanation
ف س ق‎, فَسَقَ,to disobey defiantly
ف ش ل‎, فَشِلْ,to lose courage
ف ص ح‎, أَفْصَحُ,(is) more eloquent
ف ص ل‎, فَصَلَ,"to set out, to depart, to judge"
ف ص م‎, انْفِصَامَ,(will) break
ف ض ح‎, تَفْضَحُ,to shame
