Root,Sample Word,Sample Word Meaning
ج ه ل‎, يَجْهَلُ,to be ignorant
ج و ب‎, جَابُ,to carve
ج و د‎, الْجِيَادُ,excellent bred steeds
ج و ر‎, يُجَاوِرُ,to be neighbours
ج و ز‎, جَاوَزَ,"to cross, to pass beyond"
ج و س‎, جَاسُ,to enter
ج و ع‎, تَجُوعَ,to be hungry
ج و ف‎, جَوْفِهِ,his interior
ج و و‎, جَوِّ,the midst
ج ي أ‎, جَآءَ,to come
ج ي ب‎, جُيُوبِهِنَّ,their bosoms
ج ي د‎, جِيدِهَا,her neck
ح ب ب‎, حَبَّبَ,to endear
ح ب ر‎, يُحْبَرُ,to delight
ح ب س‎, يَحْبِسُ,to detain
ح ب ط‎, حَبِطَ,to become worthless
ح ب ك‎, الْحُبُكِ,pathways
ح ب ل‎, بِحَبْلِ,to (the) rope
ح ت م‎, حَتْمًا,an inevitability
ح ث ث‎, حَثِيثًا,rapidly
ح ج ب‎, حِجَابٌ,(will be) a partition
ح ج ج‎, حَجَّ,"to perform pilgrimage, to argue"
ح ج ر‎, وَالْحِجَارَةُ,and [the] stones
ح ج ز‎, حَاجِزًا,a barrier
ح د ب‎, حَدَبٍ,elevation
ح د ث‎, تُحَدِّثُ,"to report, to narate"
ح د د‎, يُحَآدُّ,to oppose
ح د ق‎, حَدَائِقَ,gardens
ح ذ ر‎, يَحْذَرُ,"to fear, to beware"
ح ر ب‎, حَارَبَ,to wage war
ح ر ث‎, تَحْرُثُ,to sow
ح ر ج‎, حَرَجًا,any discomfort
ح ر د‎, حَرْدٍ,determination
ح ر ر‎, الْحَرِّ,the heat
ح ر س‎, حَرَسًا,guards
ح ر ص‎, حَرَصْ,to desire
ح ر ض‎, حَرِّضِ,"to urge, to encourage"
ح ر ف‎, يُحَرِّفُ,to distort
ح ر ق‎, حَرِّقُ,to burn
ح ر ك‎, تُحَرِّكْ,to move
ح ر م‎, حَرَّمَ,"to forbid, to make unlawful"
ح ر ي‎, تَحَرَّ,to seek
ح ز ب‎, حِزْبَ,(the) party
ح ز ن‎, يَحْزُن,to grieve
ح س ب‎, حَسِبَ,to think
ح س د‎, حَسَدَ,to envy
ح س ر‎, يَسْتَحْسِرُ,to tire
ح س س‎, تَحُسُّ,"to inquire, to kill"
ح س م‎, حُسُومًا,(in) succession
ح س ن‎, حَسُنَ,"to be the best, to be good"
ح ش ر‎, حَشَرَ,"to gather, to raise"
ح ص ب‎, حَصَبُ,(are) firewood
ح ص ح ص‎, حَصْحَصَ,to become manifest
ح ص د‎, حَصَد,to reap
ح ص ر‎, حَصِرَتْ,"to restrain, to besiege"
ح ص ل‎, حُصِّلَ,to make apparent
ح ص ن‎, أَحْصَنَتْ,"to guard, to protect"
ح ص ي‎, أَحْصَىٰ,"to count, to calculate, to enumerate"
ح ض ر‎, حَضَرَ,"to approach, to attend"
ح ض ض‎, يَحُضُّ,to feel the urge
ح ط ب‎, حَطَبًا,firewood
ح ط ط‎, حِطَّةٌ,Repentance
ح ط م‎, يَحْطِمَ,to crush
ح ظ ر‎, مَحْظُورًا,restricted
ح ظ ظ‎, حَظًّا,any portion
ح ف د‎, وَحَفَدَةً,and grandsons
ح ف ر‎, الْحَافِرَةِ,the former state
ح ف ظ‎, حَفِظَ,"to guard, to protect"
ح ف ف‎, حَفَفْ,to border
ح ف و‎, يُحْفِ,to press
ح ق ب‎, أَحْقَاب,Time adverb
ح ق ف‎, أَحْقَاف,Proper noun
ح ق ق‎, حَقَّ,"to justify, to prove true"
ح ك م‎, حَكَمَ,to judge
ح ل ف‎, حَلَفْ,to swear
ح ل ق‎, تَحْلِقُ,to shave
ح ل ل‎, حَلَلْ,"to descend, to be lawful"
ح ل م‎, أَحْلَامٍ,dreams
ح ل ي‎, حُلُّ,to adorn
ح م أ‎, حَمَإٍ,black mud
ح م د‎, يُحْمَدُ,to praise
ح م ر‎, حِمَارِكَ,your donkey
ح م ل‎, حَمَلَ,"to carry, to bear"
ح م م‎, حَمِيمٍ,boiling water
ح م ي‎, يُحْمَىٰ,to heat
ح ن ث‎, تَحْنَثْ,to break oath
ح ن ج ر‎, الْحَنَاجِرَ,the throats
ح ن ذ‎, حَنِيذٍ,roasted
ح ن ف‎, حَنِيفًا,(the) upright
ح ن ك‎, أَحْتَنِكَ,to destroy
ح ن ن‎, وَحَنَانًا,And affection
ح و ب‎, حُوبًا,a sin
ح و ت‎, حِيتَانُهُمْ,their fish
ح و ج‎, حَاجَةً,(it was) a need
ح و ذ‎, ٱسْتَحْوَذَ,"to overcome, to have advantage"
ح و ر‎, يَحُورَ,to return
ح و ز‎, مُتَحَيِّزًا,(to) join
ح و ش‎, حَاشَ,Forbid
ح و ط‎, أَحَاطَ,"to surround, to encompass"
ح و ل‎, حَالَ,to come
ح و ي‎, أَحْوَىٰ,dark
ح ي ث‎, حَيْثُ,wherever
ح ي د‎, تَحِيدُ,to avoid
ح ي ر‎, حَيْرَانَ,confused
ح ي ص‎, مَحِيصًا,any escape
ح ي ض‎, يَحِضْ,to menstruate
ح ي ف‎, يَحِيفَ,to be unjust
ح ي ق‎, حَاقَ,"to surround, to encompass, to envelope"
ح ي ن‎, حِينٍ,a period
ح ي ي‎, حَىَّ,to live
خ ب أ‎, الْخَبْءَ,the hidden
خ ب ت‎, أَخْبَتُ,to be humble
خ ب ث‎, خَبُثَ,to be bad
خ ب ر‎, أَخْبَارِكُمْ,your news
خ ب ز‎, خُبْزًا,bread
خ ب ط‎, يَتَخَبَّطُ,to confound
خ ب ل‎, خَبَالًا,(any) ruin
خ ب و‎, خَبَتْ,to subside
خ ت ر‎, خَتَّارٍ,traitor
خ ت م‎, خَتَمَ,to seal
خ د د‎, الْأُخْدُودِ,(of) the pit
خ د ع‎, يَخْدَعُ,to deceive
